"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
13,85;13,85;1;1;1;1;0;0;-14928,6430571025;-0,626348257064819;
13,9;13,9;1;1;1;1;0;0;-14929,0900919278;-0,628803372383118;
13,95;13,95;1;1;1;1;0;0;-14929,5362326836;-0,631757155060768;
14;14;1;1;1;1;0;0;-14929,9823734393;-0,63444472849369;
14,05;14,05;1;1;1;1;0;0;-14930,428514195;-0,637014508247375;
14,1;14,1;1;1;1;1;0;0;-14930,8746549508;-0,639651045203209;
14,15;14,15;1;1;1;1;0;0;-14931,3216897762;-0,642233714461327;
14,2;14,2;1;1;1;1;0;0;-14931,7132922832;-0,645280927419662;
14,25;14,25;1;1;1;1;0;0;-14931,7132922832;-0,647990182042122;
14,3;14,3;1;1;1;1;0;0;-14931,7132922832;-0,65016008913517;
14,35;14,35;1;1;1;1;0;0;-14931,7132922832;-0,652642697095871;
14,4;14,4;1;1;1;1;0;0;-14931,7132922832;-0,655254870653152;
14,45;14,45;1;1;1;1;0;0;-14931,7132922832;-0,65803125500679;
14,5;14,5;1;1;1;1;0;0;-14931,7615720443;-0,659792199730873;
14,55;14,55;1;1;1;1;0;0;-14932,2077128001;-0,661429092288017;
14,6;14,6;1;1;1;1;0;0;-14932,6538535558;-0,66383957862854;
14,65;14,65;1;1;1;1;0;0;-14933,0999943115;-0,666933432221413;
14,7;14,7;1;1;1;1;0;0;-14933,5470291369;-0,669793039560318;
14,75;14,75;1;1;1;1;0;0;-14933,9931698927;-0,672358199954033;
14,8;14,8;1;1;1;1;0;0;-14934,4393106484;-0,675865784287453;
14,85;14,85;1;1;1;1;0;0;-14934,8854514041;-0,678327232599258;
14,9;14,9;1;1;1;1;0;0;-14935,3315921599;-0,680138692259789;
14,95;14,95;1;1;1;1;0;0;-14935,7786269852;-0,683006942272186;
15;15;1;1;1;1;0;0;-14936,224767741;-0,685329735279083;
15,05;15,05;1;1;1;1;0;0;-14936,3615603975;-0,688203051686287;
